Chemicals- Various,,,,,,,,,,,,,,,,,,,,,,,,,Target  Pay,,,o/o Hourly,,Revenue Share,,
Ship Point,Delivery Point,Product,dist. 1 way,rate $,drive hrs,Speed,fuel Sur,driving $,chains,load,unload ,load $,unload $,MT,Misc. $130,Per Trip,MT Rate,Rev (40MT),Hourly,driver Pay,standby ,hrs,o/o Bizi,o/o Own,Target Bizi,Target o/o,o/o Own,(h) w Bizi,(h) own,% o/o Bizi,% own,Bizi driver
"Edmonton, AB","Lavington, BC",40,PAC,"$5,887.90",13%,6.5,"$1,095.50","$3,756.11",,,,,,,,,,,,,,,,,,,,,,,,
"Edmonton, AB","Peace River, BC",28,Liquid Alum,"$3,281.21",13%,4.0,$602.00,"$1,978.11",,,,,,,,,,,,,,,,,,,,,,,,
"Edmonton, AB","Peace River, BC",40,Liquid Alum,"$3,884.45",13%,6.5,$722.50,"$2,374.04",,,,,,,,,,,,,,,,,,,,,,,,
"Edmonton, AB","Peachland, BC",20,PAC,"$5,188.51",13%,4.0,$952.88,"$3,267.11",,,,,,,,,,,,,,,,,,,,,,,,
"Edmonton, AB","Peachland, BC",28,PAC,"$5,487.70",13%,4.0,"$1,007.07","$3,452.91",,,,,,,,,,,,,,,,,,,,,,,,
"Edmonton, AB","Peachland, BC",28,ACH,"$5,487.70",13%,4.0,"$1,007.07","$3,452.91",,,,,,,,,,,,,,,,,,,,,,,,
"Edmonton, AB","Penticton, BC",28,PAC,"$5,678.35",13%,4.0,"$1,041.60","$3,571.31",,,,,,,,,,,,,,,,,,,,,,,,
"Edmonton, AB","Penticton, BC",34,AluPAC 8000 B,"$4,749.78",13%,4.0,"$1,041.60","$3,571.31",,,,,,,,,,,,,,,,,,,,,,,,
"Edmonton, AB","Penticton, BC",20,Caustic 25%,"$5,367.25",13%,4.0,$985.25,"$3,378.11",,,,,,,,,,,,,,,,,,,,,,,,
"Edmonton, AB","Port Hardy, BC",22,ISOPAC 6,"$9,119.53",13%,6.0,"$1,673.88","$5,739.11",,,,,,,,,,,,,,,,,,,,,,,,
"Edmonton, AB","Radium Hot Springs, BC",7,PAC 6,"$3,421.79",13%,4.0,$630.00,"$2,070.11",,,,,,,,,,,,,,,,,,,,,,,,
"Edmonton, AB","Salmon Arm, BC",20,PAC,"$4,613.65",13%,4.0,$848.75,"$2,788.86",,,,,,,,,,,,,,,,,,,,,,,,
"Edmonton, AB","Salmon Arm, BC",24.5,PAC,"$4,613.65",13%,4.0,$848.75,"$2,788.86",,,,,,,,,,,,,,,,,,,,,,,,
"Edmonton, AB","Sechelt, BC",38,PAC,"$7,781.27",13%,6.5,"$1,441.50","$4,736.47",,,,,,,,,,,,,,,,,,,,,,,,
"Edmonton, AB","Sechelt, BC",34,ISOPAC,"$7,548.80",13%,6.5,"$1,399.64","$4,598.92",,,,,,,,,,,,,,,,,,,,,,,,
"Edmonton, AB","Sechelt, BC",28,PAC,"$6,919.66",13%,4.0,"$1,273.07","$4,183.04",,,,,,,,,,,,,,,,,,,,,,,,
"Edmonton, AB","Summerland, BC",40,PAC,"$6,345.91",13%,6.5,"$1,177.50","$4,037.25",,,,,,,,,,,,,,,,,,,,,,,,
"Edmonton, AB",Summerland,28,PAC,"$5,595.91",13%,4.0,"$1,026.67","$3,520.11",,,,,,,,,,,,,,,,,,,,,,,,
"Edmonton, AB",Summerland,20,PAC,"$5,289.96",13%,4.0,$971.25,"$3,330.11",,,,,,,,,,,,,,,,,,,,,,,,
"Edmonton, AB","Vancouver, BC",28,PAC,"$6,617.43",13%,4.0,"$1,218.00","$4,002.11",,,,,,,,,,,,,,,,,,,,,,,,
"Edmonton, AB","West Kelowna, BC",20,PAC,"$5,116.05",13%,4.0,$939.75,"$3,222.11",,,,,,,,,,,,,,,,,,,,,,,,
"Edmonton, AB","West Kelowna, BC",28,PAC,"$5,410.41",13%,4.0,$993.07,"$3,404.91",,,,,,,,,,,,,,,,,,,,,,,,
"Edmonton, AB","West Kelowna, BC",39.5,PAC,"$6,144.83",13%,6.5,"$1,141.50","$3,913.82",,,,,,,,,,,,,,,,,,,,,,,,
"Edmonton, AB","West Kelowna, BC",28,ACH,"$5,410.41",13%,4.0,$993.07,"$3,404.91",,,,,,,,,,,,,,,,,,,,,,,,
"Edmonton, AB","West Kelowna, BC",34,ACH,"$6,144.83",13%,6.5,"$1,141.50","$3,913.82",,,,,,,,,,,,,,,,,,,,,,,,
"Edmonton, AB","West Kelowna, BC",38,ACH,"$6,144.83",13%,6.5,"$1,141.50","$3,913.82",,,,,,,,,,,,,,,,,,,,,,,,
"Prince George, AB","Salmon Arm, BC",28,Liquid Alum,"$3,950.45",13%,4.0,$725.20,"$2,382.91",,,,,,,,,,,,,,,,,,,,,,,,
"Burnaby, BC","West Kelowna, BC",28,Aluminum Sulphate,"$2,640.73",Variable,4.0,$485.33,"$1,664.11",,,,,,,,,,,,,,,,,,,,,,,,
"Burnaby, BC","Salmon Arm, BC",28,Aluminum Sulphate,"$3,041.41",Variable,4.0,$559.07,"$1,837.04",,,,,,,,,,,,,,,,,,,,,,,,
